startIp,endIp,continent,countryCode,country,state,city,zip,timezone,isDst,latitude,longitude,accuracy,sources
1.0.160.0,1.0.160.255,AS,TH,Thailand,Trang,Wang Wiset,92220,Asia/Jakarta,0,7.73631,99.3987,1.2,tp1
1.0.161.0,1.0.161.255,AS,TH,Thailand,Krabi,Saladan,81150,Asia/Jakarta,0,7.61342,99.03651,1.5,tp1;tp2
1.0.162.0,1.0.162.255,AS,TH,Thailand,Chumphon,Lamae,86170,Asia/Jakarta,0,9.76789,99.09256,1.2,tp1
1.0.163.0,1.0.163.255,AS,TH,Thailand,Phuket,Thalang,83110,Asia/Jakarta,0,8.0317,98.33408,1.2,tp1
1.0.164.0,1.0.164.255,AS,TH,Thailand,Krabi,Ban Ao Nang,81130,Asia/Jakarta,0,8.0458,98.81035,1.5,tp1;tp2
1.0.165.0,1.0.165.255,AS,TH,Thailand,Songkhla,Songkhla,90120,Asia/Jakarta,0,7.19882,100.5951,1.5,tp1;tp2
1.0.166.0,1.0.166.255,AS,TH,Thailand,Surat Thani,Ko Pha Ngan,84280,Asia/Jakarta,0,9.71945,99.99511,1.5,tp1;tp2
1.0.167.0,1.0.167.255,AS,TH,Thailand,Krabi,Krabi,81130,Asia/Jakarta,0,8.07257,98.91052,1.5,tp1;tp2
1.0.168.0,1.0.168.255,AS,TH,Thailand,Phetchaburi,Cha-am,76120,Asia/Jakarta,0,12.80013,99.96611,1.5,tp1;tp2
1.0.169.0,1.0.169.255,AS,TH,Thailand,Kanchanaburi,Tha Maka,71120,Asia/Jakarta,0,13.92081,99.76553,1.5,tp1;tp2
1.0.170.0,1.0.171.255,AS,TH,Thailand,Bangkok,Sathorn,10200,Asia/Jakarta,0,13.74998,100.51682,1.1,tp1
1.0.172.0,1.0.172.255,AS,TH,Thailand,Trang,Trang,92140,Asia/Jakarta,0,7.55633,99.61141,1.2,tp1
1.0.173.0,1.0.173.255,AS,TH,Thailand,Surat Thani,Surat Thani,84150,Asia/Jakarta,0,9.14011,99.33311,1.5,tp1;tp2
1.0.174.0,1.0.174.255,AS,TH,Thailand,Phuket,Thalang,83110,Asia/Jakarta,0,8.0317,98.33408,1.2,tp1
1.0.175.0,1.0.175.255,AS,TH,Thailand,Phang Nga,Kapong,82000,Asia/Jakarta,0,8.69697,98.40914,1.2,tp1
1.0.176.0,1.0.197.255,AS,TH,Thailand,Bangkok,Sathorn,10200,Asia/Jakarta,0,13.74998,100.51682,1,tp1
1.0.198.0,1.0.198.255,AS,TH,Thailand,Surat Thani,Ko Samui,84140,Asia/Jakarta,0,9.53567,99.93567,1.2,tp1
1.0.199.0,1.0.201.255,AS,TH,Thailand,Bangkok,Sathorn,10200,Asia/Jakarta,0,13.74998,100.51682,1.1,tp1
1.0.202.0,1.0.202.255,AS,TH,Thailand,Phatthalung,Srinagarindra,93180,Asia/Jakarta,0,7.56991,99.94353,1.2,tp1
1.0.203.0,1.0.203.255,AS,TH,Thailand,Ranong province,Kapoe,85120,Asia/Jakarta,0,9.58522,98.59611,1.5,tp1;tp2
1.0.204.0,1.0.204.255,AS,TH,Thailand,Kanchanaburi,Nong Prue,71220,Asia/Jakarta,0,14.61144,99.45033,1.2,tp1
1.0.205.0,1.0.207.255,AS,TH,Thailand,Bangkok,Lak Si,10220,Asia/Jakarta,0,13.8983,100.582,1.1,tp2
1.0.208.0,1.0.208.255,AS,TH,Thailand,Lamphun,Li,51110,Asia/Jakarta,0,17.8027,98.95097,1.2,tp1
1.0.209.0,1.0.209.255,AS,TH,Thailand,Mae Hong Son,Mae Hong Son,58000,Asia/Jakarta,0,19.30029,97.96852,1.2,tp1
1.0.210.0,1.0.210.255,AS,TH,Thailand,Saraburi,Wang Muang,18220,Asia/Jakarta,0,14.8418,101.125,1.2,tp2
1.0.211.0,1.0.211.255,AS,TH,Thailand,Saraburi,Saraburi,18190,Asia/Jakarta,0,14.5333,100.917,1.2,tp2
1.0.212.0,1.0.212.255,AS,TH,Thailand,Chiang Mai,Chiang Mai,50000,Asia/Jakarta,0,18.79069,98.98468,1.5,tp1;tp2
1.0.213.0,1.0.213.255,AS,TH,Thailand,Chiang Rai,Thoeng,57160,Asia/Jakarta,0,19.68508,100.19456,1.2,tp1
1.0.214.0,1.0.214.255,AS,TH,Thailand,Yala,Yala,95000,Asia/Jakarta,0,6.53995,101.28128,1.5,tp1;tp2
1.0.215.0,1.0.215.255,AS,TH,Thailand,Maha Sarakham,Kantharawichai,44150,Asia/Jakarta,0,16.32719,103.29864,1.2,tp1
1.0.216.0,1.0.216.255,AS,TH,Thailand,Surat Thani,Ko Samui,84140,Asia/Jakarta,0,9.53567,99.93567,1.5,tp1;tp2
1.0.217.0,1.0.217.255,AS,TH,Thailand,Bangkok,Sathorn,10200,Asia/Jakarta,0,13.74998,100.51682,1.2,tp1
1.0.218.0,1.0.218.255,AS,TH,Thailand,Songkhla,Hat Yai,90110,Asia/Jakarta,0,7.00836,100.47668,1.5,tp1;tp2
1.0.219.0,1.0.219.255,AS,TH,Thailand,Chiang Mai,Samoeng,50250,Asia/Jakarta,0,18.84806,98.73242,1.2,tp1
1.0.220.0,1.0.220.255,AS,TH,Thailand,Krabi,Krabi,81130,Asia/Jakarta,0,8.07257,98.91052,1.2,tp1
1.0.221.0,1.0.223.255,AS,TH,Thailand,Bangkok,Sathorn,10200,Asia/Jakarta,0,13.74998,100.51682,1.1,tp1
1.0.224.0,1.0.224.255,AS,TH,Thailand,Udon Thani,Udon Thani,,Asia/Jakarta,0,17.4157,102.786,1.2,tp2
1.0.225.0,1.0.225.255,AS,TH,Thailand,Sakon Nakhon,Phang Khon,47160,Asia/Jakarta,0,17.3905,103.717,1.2,tp2
1.0.226.0,1.0.226.255,AS,TH,Thailand,Loei,Phu Ruea,42160,Asia/Jakarta,0,17.4538,101.36231,1.2,tp1
1.0.227.0,1.0.227.255,AS,TH,Thailand,Udon Thani,Udon Thani,,Asia/Jakarta,0,17.41567,102.78589,1.2,tp1
1.0.228.0,1.0.228.255,AS,TH,Thailand,Roi Et,Selaphum,45110,Asia/Jakarta,0,16.0299,103.938,1.2,tp2
1.0.229.0,1.0.229.255,AS,TH,Thailand,Loei,Loei,42000,Asia/Jakarta,0,17.4905,101.727,1.2,tp2
1.0.230.0,1.0.230.255,AS,TH,Thailand,Khon Kaen,Khon Kaen,40270,Asia/Jakarta,0,16.44671,102.833,1.2,tp1
1.0.231.0,1.0.231.127,AS,TH,Thailand,Loei,Phu Ruea,42160,Asia/Jakarta,0,17.4538,101.362,1.1,tp2
1.0.231.128,1.0.231.255,AS,TH,Thailand,Nong Bua Lamphu,Non Sang,39140,Asia/Jakarta,0,16.8687,102.566,1.2,tp2
1.0.232.0,1.0.233.255,AS,TH,Thailand,Loei,Loei,42000,Asia/Jakarta,0,17.49052,101.72749,1.4,tp1;tp2
1.0.234.0,1.0.234.255,AS,TH,Thailand,Bueng Kan,Phon Charoen,47250,Asia/Jakarta,0,18.0375,103.715,1.2,tp1
1.0.235.0,1.0.235.255,AS,TH,Thailand,Loei,Phu Kradueng,42180,Asia/Jakarta,0,16.88425,101.88467,1.5,tp1;tp2
1.0.236.0,1.0.236.255,AS,TH,Thailand,Roi Et,Changhan,45000,Asia/Jakarta,0,16.13872,103.60388,1.2,tp1
1.0.237.0,1.0.237.255,AS,TH,Thailand,Nong Bua Lamphu,Na Wang,39170,Asia/Jakarta,0,17.32444,102.0783,1.2,tp1
