startIp,endIp,ipVersion,serviceName,serviceUrl
5.62.60.40,5.62.60.43,4,Hide My Ass VPN,https://hidemyass.com
185.236.200.0,185.236.200.255,4,Shared VPN Network with 3 known VPN providers,
198.54.131.0,198.54.131.255,4,Shared VPN Network with 2 known VPN providers,
89.37.172.0,89.37.175.255,4,Shared VPN Network with 2 known VPN providers,
45.248.76.0,45.248.79.255,4,Shared VPN Network with 3 known VPN providers,
194.146.15.0,194.146.15.255,4,NordVPN,https://nordvpn.com
216.131.82.0,216.131.83.255,4,IPVanish,https://ipvanish.com
91.196.221.0,91.196.221.255,4,NordVPN,https://nordvpn.com
146.70.166.0,146.70.166.255,4,MullvadVPN,https://mullvad.net
194.110.12.0,194.110.13.255,4,Shared VPN Network with 2 known VPN providers,
102.165.16.0,102.165.17.255,4,Private Internet Access,https://privateinternetaccess.com
89.37.95.0,89.37.95.255,4,Surfshark,https://surfshark.com
45.150.174.96,45.150.174.103,4,Surfshark,https://surfshark.com
102.129.153.0,102.129.153.255,4,Shared VPN Network with 2 known VPN providers,
194.114.136.0,194.114.139.255,4,Shared VPN Network with 2 known VPN providers,
185.198.191.176,185.198.191.183,4,Surfshark,https://surfshark.com
82.149.81.0,82.149.81.255,4,NordVPN,https://nordvpn.com
5.253.115.0,5.253.115.127,4,NordVPN,https://nordvpn.com
45.91.23.0,45.91.23.255,4,ExpressVPN,https://expressvpn.com
5.62.63.48,5.62.63.51,4,Hide My Ass VPN,https://hidemyass.com
84.239.12.0,84.239.12.127,4,Private Internet Access,https://privateinternetaccess.com
185.220.69.0,185.220.69.255,4,Shared VPN Network with 2 known VPN providers,
45.130.136.0,45.130.136.255,4,ExpressVPN,https://expressvpn.com
185.188.60.0,185.188.63.255,4,Shared VPN Network with 2 known VPN providers,
185.199.157.0,185.199.157.255,4,ExpressVPN,https://expressvpn.com
138.99.145.0,138.99.145.255,4,Hotspot Shield,https://www.hotspotshield.com
156.146.48.0,156.146.49.255,4,Shared VPN Network with 2 known VPN providers,
185.239.149.0,185.239.149.255,4,NordVPN,https://nordvpn.com
45.151.45.0,45.151.45.255,4,ProtonVPN,https://protonvpn.com
185.247.70.0,185.247.70.255,4,NordVPN,https://nordvpn.com
5.62.61.220,5.62.61.223,4,Hide My Ass VPN,https://hidemyass.com
192.166.244.0,192.166.244.255,4,NordVPN,https://nordvpn.com
5.62.63.132,5.62.63.135,4,Hide My Ass VPN,https://hidemyass.com
5.62.62.156,5.62.62.159,4,Hide My Ass VPN,https://hidemyass.com
45.134.140.0,45.134.140.255,4,Shared VPN Network with 6 known VPN providers,
103.99.87.0,103.99.87.255,4,Hotspot Shield,https://www.hotspotshield.com
138.199.47.0,138.199.47.255,4,Shared VPN Network with 2 known VPN providers,
45.86.208.112,45.86.208.119,4,Surfshark,https://surfshark.com
5.62.63.136,5.62.63.139,4,Hide My Ass VPN,https://hidemyass.com
154.16.192.0,154.16.192.255,4,Shared VPN Network with 2 known VPN providers,
86.48.13.0,86.48.13.255,4,NordVPN,https://nordvpn.com
45.144.115.8,45.144.115.15,4,Surfshark,https://surfshark.com
185.245.84.0,185.245.87.255,4,Shared VPN Network with 8 known VPN providers,
178.208.168.0,178.208.169.255,4,Shared VPN Network with 3 known VPN providers,
5.62.60.148,5.62.60.151,4,Hide My Ass VPN,https://hidemyass.com
185.183.105.64,185.183.105.255,4,Shared VPN Network with 2 known VPN providers,
152.89.204.0,152.89.204.255,4,NordVPN,https://nordvpn.com
89.149.52.0,89.149.52.255,4,Private Internet Access,https://privateinternetaccess.com
2.56.188.0,2.56.191.255,4,Shared VPN Network with 2 known VPN providers,
5.62.60.152,5.62.60.155,4,Hide My Ass VPN,https://hidemyass.com
92.118.63.0,92.118.63.255,4,NordVPN,https://nordvpn.com
85.203.22.128,85.203.22.143,4,ExpressVPN,https://expressvpn.com
169.150.232.0,169.150.232.255,4,NordVPN,https://nordvpn.com
194.110.115.0,194.110.115.255,4,Shared VPN Network with 3 known VPN providers,
185.144.83.8,185.144.83.15,4,VPN Unlimited,https://vpnunlimitedapp.com
91.205.107.0,91.205.107.255,4,NordVPN,https://nordvpn.com
146.70.198.0,146.70.198.255,4,Shared VPN Network with 2 known VPN providers,
217.138.162.0,217.138.162.255,4,Shared VPN Network with 2 known VPN providers,
5.62.62.160,5.62.62.163,4,Hide My Ass VPN,https://hidemyass.com
93.118.40.0,93.118.43.255,4,Shared VPN Network with 2 known VPN providers,
82.149.82.0,82.149.82.255,4,NordVPN,https://nordvpn.com
46.19.140.192,46.19.140.199,4,MullvadVPN,https://mullvad.net
45.83.88.0,45.83.91.255,4,Shared VPN Network with 5 known VPN providers,
