startIp,endIp,ipVersion,serviceName,serviceUrl,exitNodeType,lastSeen,lastSeenStr,exitNodeRegion,hostname,countryCode,cityName,latitude,longitude
92.119.17.18,92.119.17.18,4,NordVPN,https://nordvpn.com,vpn_server,1761315177504,2025-10-24T14:12:57.504Z,United States #8033,,,,,
167.172.189.242,167.172.189.242,4,TunnelBear,https://tunnelbear.com,exit_node,1761328352060,2025-10-24T17:52:32.060Z,,,,,,
91.193.232.71,91.193.232.71,4,ExpressVPN,https://expressvpn.com,exit_node,1758568013039,2025-09-22T19:06:53.039Z,USA - Atlanta,,US,Atlanta,33.749,-84.38798
195.242.241.20,195.242.241.20,4,NordVPN,https://nordvpn.com,exit_node,1761270204437,2025-10-24T01:43:24.437Z,af1.nordvpn.com,,AF,,,
216.238.110.230,216.238.110.230,4,TunnelBear,https://tunnelbear.com,exit_node,1761328352244,2025-10-24T17:52:32.244Z,,,,,,
93.114.61.34,93.114.61.34,4,NordVPN,https://nordvpn.com,vpn_server,1761315177504,2025-10-24T14:12:57.504Z,Canada #1771,,,,,
91.98.139.247,91.98.139.247,4,V2Ray,,vpn_server,1761315120065,2025-10-24T14:12:00.065Z,,,,,,
45.10.155.102,45.10.155.102,4,NordVPN,https://nordvpn.com,exit_node,1759528971790,2025-10-03T22:02:51.790Z,France #826,,FR,Paris,48.866667,2.333333
46.246.8.67,46.246.8.67,4,Private Internet Access,https://privateinternetaccess.com,exit_node,1759520787096,2025-10-03T19:46:27.096Z,sweden,,SE,,,
91.90.126.115,91.90.126.115,4,Private Internet Access,https://privateinternetaccess.com,exit_node,1758683254948,2025-09-24T03:07:34.948Z,panama,,PA,,,
217.64.148.53,217.64.148.53,4,OVPN,https://ovpn.com,vpn_server,1761315119503,2025-10-24T14:11:59.503Z,multihop.se.any-city.tcp,,,,,
134.19.179.204,134.19.179.204,4,AirVPN,https://airvpn.org,vpn_server,1761315178622,2025-10-24T14:12:58.622Z,"Alblasserdam, Netherlands",,,,,
82.102.23.141,82.102.23.141,4,AirVPN,https://airvpn.org,vpn_server,1761315178622,2025-10-24T14:12:58.622Z,"Sofia, Bulgaria",,,,,
85.203.15.173,85.203.15.173,4,ExpressVPN,https://expressvpn.com,exit_node,1761297541119,2025-10-24T09:19:01.119Z,,,,,,
78.110.169.131,78.110.169.131,4,NordVPN,https://nordvpn.com,vpn_server,1761230810590,2025-10-23T14:46:50.590Z,"London, United Kingdom",uk2518.nordvpn.com,,,,
23.234.103.209,23.234.103.209,4,MullvadVPN,https://mullvad.net,exit_node,1759161546450,2025-09-29T15:59:06.450Z,us-nyc-wg-808,,us,New York,40.71427,-74.00597
86.48.14.108,86.48.14.108,4,NordVPN,https://nordvpn.com,exit_node,1761030008118,2025-10-21T07:00:08.118Z,Canada #1511,,CA,Toronto,43.666667,-79.416667
108.171.106.136,108.171.106.136,4,IPVanish,https://ipvanish.com,vpn_server,1761315136439,2025-10-24T14:12:16.439Z,ipvanish-BZ-Belize-City---Virtual-bze-c02,,,,,
216.238.118.145,216.238.118.145,4,TunnelBear,https://tunnelbear.com,exit_node,1761328352132,2025-10-24T17:52:32.132Z,,,,,,
198.44.157.35,198.44.157.35,4,AirVPN,https://airvpn.org,exit_node,1760877084576,2025-10-19T12:31:24.576Z,,,,,,
82.118.29.52,82.118.29.52,4,ExpressVPN,https://expressvpn.com,exit_node,1757655503370,2025-09-12T05:38:23.370Z,Sweden,,SE,,,
91.205.106.241,91.205.106.241,4,NordVPN,https://nordvpn.com,exit_node,1756942602332,2025-09-03T23:36:42.332Z,France #990,,FR,Paris,48.866667,2.333333
216.238.101.74,216.238.101.74,4,TunnelBear,https://tunnelbear.com,exit_node,1761328352079,2025-10-24T17:52:32.079Z,,,,,,
64.145.65.8,64.145.65.8,4,IPVanish,https://ipvanish.com,vpn_server,1761315148938,2025-10-24T14:12:28.938Z,ipvanish-PY-Asuncion---Virtual-asu-c02,,,,,
212.102.54.140,212.102.54.140,4,Surfshark,https://surfshark.com,exit_node,1760233020905,2025-10-12T01:37:00.905Z,it-mil.prod.surfshark.com_udp.ovpn,,IT,milan,45.46427,9.18951
185.210.217.120,185.210.217.120,4,NordVPN,https://nordvpn.com,vpn_server,1761315177504,2025-10-24T14:12:57.504Z,Belgium #151,,,,,
103.1.212.147,103.1.212.147,4,NordVPN,https://nordvpn.com,vpn_server,1761230810589,2025-10-23T14:46:50.589Z,"Sydney, Australia",au536.nordvpn.com,,,,
98.96.216.4,98.96.216.4,4,IPVanish,https://ipvanish.com,exit_node,1760833514129,2025-10-19T00:25:14.129Z,,,,,,
45.130.105.24,45.130.105.24,4,NordVPN,https://nordvpn.com,exit_node,1757348935407,2025-09-08T16:28:55.407Z,Germany #785,,DE,Frankfurt,50.116667,8.683333
185.214.97.12,185.214.97.12,4,NordVPN,https://nordvpn.com,exit_node,1760040050711,2025-10-09T20:00:50.711Z,Spain #220,,ES,Barcelona,41.398371,2.1741
173.255.172.166,173.255.172.166,4,IPVanish,https://ipvanish.com,vpn_server,1761315164522,2025-10-24T14:12:44.522Z,ipvanish-US-Kansas-City-mci-a26,,,,,
66.56.80.168,66.56.80.168,4,Private Internet Access,https://privateinternetaccess.com,exit_node,1759108745696,2025-09-29T01:19:05.696Z,ca_toronto,,CA,,,
91.228.10.89,91.228.10.89,4,V2Ray,,vpn_server,1761315120160,2025-10-24T14:12:00.160Z,,,,,,
192.145.69.113,192.145.69.113,4,Hotspot Shield,https://www.hotspotshield.com,exit_node,1756990117365,2025-09-04T12:48:37.365Z,,,,,,
185.214.97.134,185.214.97.134,4,NordVPN,https://nordvpn.com,vpn_server,1761315177504,2025-10-24T14:12:57.504Z,Spain #237,,,,,
45.130.202.65,45.130.202.65,4,ExpressVPN,https://expressvpn.com,exit_node,1761117674248,2025-10-22T07:21:14.248Z,,,,,,
216.238.113.27,216.238.113.27,4,TunnelBear,https://tunnelbear.com,exit_node,1761328352101,2025-10-24T17:52:32.101Z,,,,,,
192.200.148.235,192.200.148.235,4,IPVanish,https://ipvanish.com,exit_node,1761275009885,2025-10-24T03:03:29.885Z,,,,,,
