ipVersion,startIp,endIp,datacenter,domain
6,2a0a:4940:d112:0:0:0:0:0,2a0a:4940:d112:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:32f0:0:0:0:0:0,2a0a:4940:32f0:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:70f5:0:0:0:0:0,2a0a:4940:70f5:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:267:0:0:0:0:0,2a0a:4940:267:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:17d1:0:0:0:0:0,2a0a:4940:17d1:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a02:708:0:175:0:0:0:0,2a02:708:0:175:ffff:ffff:ffff:ffff,Ratiokontakt GmbH,ratiokontakt.de
6,2a0a:4940:e2ae:0:0:0:0:0,2a0a:4940:e2ae:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a01:7f60:0:0:0:0:0:0,2a01:7f60:ffff:ffff:ffff:ffff:ffff:ffff,Internet Names for Business Inc,internetnamesforbusiness.com
6,2a03:b200:7:0:0:0:0:0,2a03:b200:7:ffff:ffff:ffff:ffff:ffff,Melbourne Server Hosting Ltd,www.iomart.com
6,2001:978:2:19:0:0:c8:0,2001:978:2:19:0:0:c8:ffff,M247 Europe SRL,m247.com
6,2a0a:4940:2d85:0:0:0:0:0,2a0a:4940:2d85:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:9316:0:0:0:0:0,2a0a:4940:9316:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2001:240:1e00:3000:0:0:0:0,2001:240:1e00:30ff:ffff:ffff:ffff:ffff,Internet Initiative Japan Inc.,www.iij.ad.jp
6,2a0a:4940:40c5:0:0:0:0:0,2a0a:4940:40c5:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:5456:0:0:0:0:0,2a0a:4940:5456:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:c22:0:0:0:0:0,2a0a:4940:c22:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:57e7:0:0:0:0:0,2a0a:4940:57e7:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2001:978:2:38:0:0:61:0,2001:978:2:38:0:0:61:ffff,Datacamp Limited,www.datacamp.co.uk
6,2a01:4f9:4a:1e25:0:0:0:0,2a01:4f9:4a:1e25:ffff:ffff:ffff:ffff,Unihost Inc.,hetzner.com
6,2a0a:4940:a1ee:0:0:0:0:0,2a0a:4940:a1ee:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:4d14:0:0:0:0:0,2a0a:4940:4d14:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:25d:0:0:0:0:0,2a0a:4940:25d:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0c:b641:d7:0:0:0:0:0,2a0c:b641:d7:ffff:ffff:ffff:ffff:ffff,Daniel Piekacz,gixtools.net
6,2a01:4f8:10a:1149:0:0:0:0,2a01:4f8:10a:1149:ffff:ffff:ffff:ffff,F. Maounis & SIA OE  TOPHOST,hetzner.com
6,2a0a:4940:d331:0:0:0:0:0,2a0a:4940:d331:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2001:1a50:5048:0:0:0:0:0,2001:1a50:5048:ffff:ffff:ffff:ffff:ffff,rh-tec Business GmbH,rh-tec.de
6,2a0a:4940:5e06:0:0:0:0:0,2a0a:4940:5e06:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:15aa:0:0:0:0:0,2a0a:4940:15aa:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:3fd7:0:0:0:0:0,2a0a:4940:3fd7:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:fcc7:0:0:0:0:0,2a0a:4940:fcc7:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a00:9801:17:0:0:0:0:0,2a00:9801:17:ffff:ffff:ffff:ffff:ffff,JSC Avantel,avantel.ru
6,2a01:4f8:151:2084:0:0:0:0,2a01:4f8:151:2084:ffff:ffff:ffff:ffff,FastVPS Eesti O�,fastvps.hosting
6,2a0a:4940:91b0:0:0:0:0:0,2a0a:4940:91b0:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2804:2174:0:0:0:0:0:0,2804:2174:ffff:ffff:ffff:ffff:ffff:ffff,TECCLOUD SERVIÇOS DE TECNOLOGIA AHU LTDA.,teccloud.com
6,2a02:4780:16:0:0:0:0:0,2a02:4780:16:ffff:ffff:ffff:ffff:ffff,HOSTINGER CDN,www.hostinger.com
6,2a0a:4940:ce25:0:0:0:0:0,2a0a:4940:ce25:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a01:4f8:2200:4224:0:0:0:0,2a01:4f8:2200:4224:ffff:ffff:ffff:ffff,Timme Hosting GmbH & Co. KG,hetzner.com
6,2a0a:4940:9498:0:0:0:0:0,2a0a:4940:9498:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a0a:4940:18a9:0:0:0:0:0,2a0a:4940:18a9:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a03:220:0:0:0:0:0:0,2a03:220:ffff:ffff:ffff:ffff:ffff:ffff,START LLC,netrack.ru
6,2403:d280:0:0:0:0:0:0,2403:d280:ffff:ffff:ffff:ffff:ffff:ffff,"Beijing Teletron Telecom Engineering Co., Ltd.",www.drpeng.com.cn
6,2a0e:aa07:e01e:0:0:0:0:0,2a0e:aa07:e01e:ffff:ffff:ffff:ffff:ffff,MrSheepNET LTD,mrsheep.io
6,2003:c9:4030:0:0:0:0:0,2003:c9:4030:ffff:ffff:ffff:ffff:ffff,Atlantic Hotel An der Alster,www.atlantic.net
6,2a01:4f8:272:288f:0:0:0:0,2a01:4f8:272:288f:ffff:ffff:ffff:ffff,Powercloud GmbH,hetzner.com
6,2a01:488:67:1000:0:0:5af:d00,2a01:488:67:1000:0:0:5af:dff,Host Europe GmbH,www.hosteurope.de
6,2a0a:4940:a682:0:0:0:0:0,2a0a:4940:a682:ffff:ffff:ffff:ffff:ffff,GIBIRNET ILETISIM HIZMETLERI SANAYI VE TICARET LIMITED SIRKETI,gibir.net.tr
6,2a02:6b8:b011:0:0:0:0:0,2a02:6b8:b011:ffff:ffff:ffff:ffff:ffff,Teletech d.o.o. Beograd,tele.tech
